datetime,traffic
20180101,26656.48084
20180102,32551.50174
20180103,33618.72474
20180104,34300.72474
20180105,34999.68293
20180106,31984.36934
20180107,27437.60627
20180108,31903.25087
20180109,32593.59233
20180110,31698.84669
20180111,31177.13589
20180112,25177.1777
20180113,29785.17422
20180114,26309.777
20180115,31063.89895
20180116,31530.30314
20180117,32445.89895
20180118,34047.26829
20180119,35240.69686
20180120,32747.43554
20180121,28039.16028
20180122,32947.98606
20180123,33219.89895
20180124,33267.60279
20180125,33981.39373
20180126,34394.75958
20180127,31972.81185
20180128,27352.8676
20180129,33182.59233
20180130,32081.22997
20180131,32773.92334
20180201,34558.10105
20180202,34908.14634
20180203,32378.20209
20180204,27865.87805
20180205,33136.20557
20180206,33708.20557
20180207,34062.97213
20180208,35174.74913
20180209,35553.28223
20180210,33442.03484
20180211,28369.10105
20180212,34540
20180213,35354.65157
20180214,34461.54007
20180215,27272.73519
20180216,27662.05575
20180217,25119.80488
20180218,25981.56098
20180219,32732.25436
20180220,34228.45645
20180221,33996.02091
20180222,34712.67247
20180223,34138.5993
20180224,33540.79443
20180225,29250.54007
20180226,34445.30662
20180227,35164.14286
20180228,34406.39373
20180301,30143.03484
20180302,33931.55401
20180303,32511.40767
20180304,26405.58885
20180305,33319.33449
20180306,34687.94774
20180307,34754.98606
20180308,34484.30662
20180309,35492.93728
20180310,33726.45645
20180311,29206.12892
20180312,33784.01742
20180313,34799.16028
20180314,35002.2439
20180315,33259.52613
20180316,34771.14634
20180317,33476.38328
20180318,29804.06969
20180319,33825.05923
20180320,35168.52962
20180321,34003.15679
20180322,35741.29965
20180323,36243.54007
20180324,34089.34843
20180325,29093.99303
20180326,33206.87456
20180327,34633.57491
20180328,34620.48432
20180329,35091.04181
20180330,36650.36585
20180331,34594.38328
