,0
20180201,34558.101045296164
20180202,34908.14634146341
20180203,32378.202090592335
20180204,27865.878048780487
20180205,33136.20557491289
20180206,33708.20557491289
20180207,34062.97212543554
20180208,35174.74912891986
20180209,35553.28222996516
20180210,33442.034843205576
20180211,28369.101045296167
20180212,34540.0
20180213,35354.65156794425
20180214,34461.54006968641
20180215,27272.735191637632
20180216,27662.05574912892
20180217,25119.80487804878
20180218,25981.560975609755
20180219,32732.254355400695
20180220,34228.45644599303
20180221,33996.020905923346
20180222,34712.6724738676
20180223,34138.59930313589
20180224,33540.79442508711
20180225,29250.540069686413
20180226,34445.306620209056
20180227,35164.142857142855
20180228,34406.393728222996
